text,ipa
intent,ˌɪnˈtɛnt
interface,ˈɪntərˌfeɪs
internet,ˈɪntərˌnɛt
interpreter,ˌɪnˈtərprətər
interrupt,ˌɪntərˈəpt
intrusion,ˌɪnˈtruʒən
ios,ˈioʊs
ip,ˌaɪˌpi
jenkins,ˈʤɛŋkɪnz
jest,ʤɛst
join,ʤɔɪn
kernel,ˈkɜrnəl
key,ki
lan,læn
laptop,ˈlæpˌtɑp
latency,ˈleɪtənsi
layer,leɪər
left,lɛft
limit,ˈlɪmət
line,laɪn
link,lɪŋk
linked,lɪŋkt
list,lɪst
load,loʊd
load balancer,loʊd ˈbælənsər
logging,ˈlɔgɪŋ
loop,luːp
mac,mæk
machine code,məˈʃin koʊd
machine learning,məˈʃin ˈlərnɪŋ
mail,meɪl
malware,ˈmælˌwɛr
management,ˈmænɪʤmənt
markup,ˈmɑrˌkəp
mask,mæsk
max,mæks
memory,ˈmɛməri
merge,mərʤ
milestone,ˈmaɪlˌstoʊn
min,mɪn
mock,mɑk
mode,moʊd
model,ˈmɑdəl
monitoring,ˈmɑnətərɪŋ
monolith,ˈmɑnəˌlɪθ
multi,ˈməlti
multiuser,ˈməltiˌjuzər
name,neɪm
network,ˈnɛtwɜrk
neural,ˈnʊrəl
normalization,ˌnɔrməlɪˈzeɪʃən
not,nɑt
on,ɔn
orchestration,ˌɔrkəˈstreɪʃən
order,ˈɔrdər
out,aʊt
outer,ˈaʊtər
over,ˈoʊvər
paging,ˈpeɪʤɪŋ
parser,ˈpɑrsər
password,ˈpæsˌwərd
patch,pæʧ
payload,ˈpeɪˌloʊd
penetration,ˌpɛnəˈtreɪʃən
peripheral,pərˈɪfərəl
phishing,ˈfɪʃɪŋ
phone,foʊn
ping,pɪŋ
pipeline,ˈpaɪˌplaɪn
point,pɔɪnt
pointer,ˈpɔɪntər
policy,ˈpɑləsi
polymorphism,ˌpɑˌliˈmɔrfɪzm
port,pɔrt
power,paʊər
primary,ˈpraɪˌmɛri
printer,ˈprɪntər
private,ˈpraɪvət
procedure,prəˈsiʤər
process,ˈprɑˌsɛs
processor,ˈprɑˌsɛsər
promise,ˈprɑməs
prompt,prɑmpt
protocol,ˈproʊtəˌkɔl
provisioning,prəˈvɪʒənɪŋ
proxy,ˈprɑksi
public,ˈpəblɪk
pull,pʊl
push,pʊʃ
query,ˈkwɪri
queue,kjuː
ram,ræm
range,reɪnʤ
register,ˈrɛʤɪstər
registry,ˈrɛʤɪstri
regression,rəˈgrɛʃən
remote,rɪˈmoʊt
replication,ˌrɛplɪˈkeɪʃən
repository,riˈpɑzəˌtɔri
request,rɪˈkwɛst
requirement,rɪkˈwaɪrmənt
resource,ˈrisɔrs
response,rɪˈspɑns
responsive,rɪˈspɑnsɪv
rest,rɛst
retransmission,ˌritrænzˈmɪʃən
right,raɪt
rip,rɪp
role,roʊl
rollback,ˈroʊlˌbæk
root,rut
router,ˈruːtər
routing,ˈrutɪŋ
runtime,ˈrʌnˌtaɪm
save,seɪv
scaling,ˈskeɪlɪŋ
scheduler,ˈskɛʤʊlər
schema,ˈskimə
script,skrɪpt
secure,sɪˈkjʊr
select,səˈlɛkt
selenium,səˈliniəm
serial,ˈsɪˌriəl
server,ˈsɜrvər
service,ˈsɜrvɪs
session,ˈsɛʃən
shell,ʃɛl
simple,ˈsɪmpəl
simulator,ˈsɪmjəˌleɪtər
single,ˈsɪŋgəl
singleton,ˈsɪŋgəltən
sms,ˌɛˌsɛˈmɛs
soap,soʊp
socket,ˈsɑkɪt
sockets,ˈsɑkəts
sort,sɔrt
specification,ˌspɛsɪfɪˈkeɪʃən
speed,spid
splitter,ˈsplɪtər
sponsor,ˈspɑnsər
sprint,sprɪnt
spy,spaɪ
stack,stæk
start,stɑrt
static,ˈstætɪk
status,ˈstætəs
storage,ˈstɔrɪʤ
stored,stɔrd
stub,stəb
sum,səm
support,səˈpɔrt
swift,swɪft
switch,swɪʧ
syntax,ˈsɪnˌtæks
table,ˈteɪbəl
testing,ˈtɛstɪŋ
thread,θrɛd
timeout,ˈtaɪˌmaʊt
to,tɪ
token,ˈtoʊkən
training,ˈtreɪnɪŋ
transaction,trænˈzækʃən
transfer,ˈtrænsfər
transformer,trænsˈfɔrmər
transmission,trænzˈmɪʃən
tree,tri
trigger,ˈtrɪgər
union,ˈjunjən
unique,juˈnik
unit,ˈjunɪt
update,ˈəpˌdeɪt
user,ˈjuzər
variable,ˈvɛriəbəl
version control,ˈvərʒən kənˈtroʊl
view,vju
virtual,ˈvərʧuəl
vulnerability,ˌvəlnərəˈbɪlɪti
web,wɛb
where,wɛr
wired,waɪərd
wireless,ˈwaɪrlɪs
xml,ˌɛkˌsɛˈmɛl
git,ɡɪt
sql,ˌɛsˌkjuːˈɛl
github,ˈɡɪtˌhʌb
